merk_mobil,model_mobil,tahun_produksi,bahan_bakar,jarak_tempuh,transmisi,harga,lokasi,wilayah,kapasitas_mesin
bmw,x5,2007,Bensin,12.5,Automatic,149000000,Setia Budi, Jakarta Selatan,1.75
bmw,x1,2017,Bensin,12.5,Automatic,279000000,Serpong, Tangerang Selatan Kota,1.25
bmw,x3,2016,Bensin,97.5,Automatic,280000000,Seputih Mataram, Lampung Tengah Kab.,1.75
bmw,x1,2019,Bensin,37.5,Automatic,305000000,Cempaka Putih, Bekasi Kota,2.5
bmw,x1,2017,Bensin,82.5,Automatic,325000000,Sawangan, Depok Kota,2.5
bmw,x1,2017,Bensin,82.5,Automatic,325000000,Sawangan, Depok Kota,2.5
bmw,x1,2017,Bensin,32.5,Automatic,339000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,x1,2017,Bensin,32.5,Automatic,339000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,x1,2017,Bensin,27.5,Automatic,339000000,Kebayoran Lama, Jakarta Selatan,1.75
bmw,x1,2017,Bensin,27.5,Automatic,339000000,Cilandak, Jakarta Selatan,1.75
bmw,x1,2017,Bensin,17.5,Automatic,339000000,Cilandak, Jakarta Selatan,1.75
bmw,x1,2017,Bensin,17.5,Automatic,339000000,Cilandak, Jakarta Selatan,1.75
bmw,x1,2017,Bensin,27.5,Automatic,339000000,Cilandak, Jakarta Selatan,1.75
bmw,x7,2019,Bensin,12.5,Automatic,339000000,Cempaka Putih, Jakarta Pusat,1.75
bmw,320i,2018,Bensin,87.5,Automatic,365000000,Bogor Timur - Kota, Bogor Kota,2.5
bmw,320i,2018,Bensin,47.5,Automatic,365000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,x1,2018,Bensin,37.5,Automatic,380000000,Bekasi Utara, Bekasi Kota,2.5
bmw,x1,2018,Bensin,37.5,Automatic,380000000,Bekasi Utara, Bekasi Kota,2.5
bmw,320i,2018,Bensin,57.5,Automatic,390000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,320i,2018,Bensin,42.5,Automatic,395000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,320i,2018,Bensin,42.5,Automatic,395000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,x1,2019,Bensin,37.5,Automatic,395000000,Cilandak, Jakarta Selatan,1.75
bmw,x1,2019,Bensin,37.5,Automatic,395000000,Cilandak, Jakarta Selatan,1.75
bmw,x1,2017,Bensin,62.5,Automatic,399000000,Bekasi Selatan, Bekasi Kota,1.25
bmw,x1,2017,Bensin,62.5,Automatic,399000000,Bekasi Selatan, Bekasi Kota,1.25
bmw,x1,2019,Bensin,72.5,Automatic,400000000,Pesanggrahan, Jakarta Selatan,1.75
bmw,320i,2016,Bensin,47.5,Automatic,405000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,320i,2022,Bensin,117.5,Automatic,410000000,Rawalumbu, Bekasi Kota,2.5
bmw,320i,2019,Bensin,32.5,Automatic,410000000,Pademangan, Jakarta Utara,2.5
bmw,320i,2019,Bensin,32.5,Automatic,410000000,Pademangan, Jakarta Utara,2.5
bmw,x1,2020,Bensin,17.5,Automatic,415000000,Pesanggrahan, Jakarta Selatan,1.75
bmw,x1,2019,Bensin,37.5,Automatic,430000000,Pesanggrahan, Jakarta Selatan,1.75
bmw,520i,2018,Bensin,72.5,Automatic,450000000,Kebayoran Lama, Jakarta Selatan,1.75
bmw,520i,2018,Bensin,72.5,Automatic,450000000,Kebayoran Lama, Jakarta Selatan,1.75
bmw,520i,2019,Bensin,17.5,Automatic,485000000,Cilandak, Jakarta Selatan,2.5
bmw,520i,2018,Bensin,32.5,Automatic,495000000,Cilandak, Jakarta Selatan,1.75
bmw,520i,2018,Bensin,32.5,Automatic,495000000,Cilandak, Jakarta Selatan,1.75
bmw,530i,2018,Bensin,37.5,Automatic,504000000,Duren Sawit, Jakarta Timur,2.5
bmw,520i,2018,Bensin,37.5,Automatic,514000000,Pancoran, Jakarta Selatan,2.5
bmw,520i,2018,Bensin,37.5,Automatic,526000000,Duren Sawit, Jakarta Timur,2.5
bmw,530i,2018,Bensin,12.5,Automatic,528000000,Cilandak, Jakarta Selatan,2.5
bmw,320i,2020,Bensin,22.5,Automatic,535000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,320i,2020,Bensin,17.5,Automatic,535000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,320i,2020,Bensin,27.5,Automatic,535000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,520d,2017,Diesel,37.5,Automatic,535000000,Kebayoran Baru, Jakarta Selatan,2.5
bmw,520i,2018,Bensin,37.5,Automatic,561000000,Duren Sawit, Jakarta Timur,1.75
bmw,520i,2018,Bensin,37.5,Automatic,561000000,Duren Sawit, Jakarta Timur,1.75
bmw,520i,2018,Bensin,37.5,Automatic,561000000,Duren Sawit, Jakarta Timur,2.5
bmw,x1,2021,Bensin,42.5,Automatic,565000000,Mampang Prapatan, Jakarta Selatan,1.75
bmw,520i,2018,Bensin,37.5,Automatic,570000000,Bekasi Selatan, Bekasi Kota,1.75
bmw,520i,2018,Bensin,37.5,Automatic,570000000,Bekasi Selatan, Bekasi Kota,1.75
bmw,x5,2017,Bensin,22.5,Automatic,580000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,x3,2018,Bensin,27.5,Automatic,588000000,Pesanggrahan, Jakarta Selatan,1.75
bmw,x3,2019,Bensin,42.5,Automatic,611000000,Kebayoran Baru, Jakarta Selatan,1.75
bmw,530i,2017,Bensin,17.5,Automatic,612000000,Cilandak, Jakarta Selatan,2.5
